Title,URL,Authority,Subjects,Description,Access,Start Date,Location,Reuse,Deposit,Type,Source
MorphoBank,http://www.morphobank.org/,MorphoBank Project; Stony Brook University,"Phylogeny, Cladistic analysis, Morphology, Anatomy, Evolution (Biology), Homology (Biology), Systems biology","MorphoBank is a web application providing an online database and workspace for evolutionary research, specifically systematics (the science of determining the evolutionary relationships among species). MorphoBank enables researchers to upload images and affiliate data with those images (labels, species names, etc.) and allows researchers to upload morphological data and affiliate it with phylogenetic matrices. MorphoBank is project-based, meaning a team of researchers can create a project and share the images and associated data exclusively with each other. When a paper associated with the project is published, the research team can make their data permanently available for view on MorphoBank where it is now archived.",Open,2001,United States,Open. Restrictions: http://www.morphobank.org/index.php/FAQ/Index,Accepting data for deposit.,Disciplinary,
Mouse Genome Informatics,http://www.informatics.jax.org/,The Jackson Laboratory,"Genomes, Genetics, Genomics, Biology, Mice","Mouse Genome Informatics (MGI) is the international database resource for the laboratory mouse, providing integrated genetic, genomic, and biological data to facilitate the study of human health and disease. The projects contributing to this resource are: Mouse Genome Database (MGD) Project, Gene Expression Database (GXD) Project, Mouse Tumor Biology (MTB) Database Project, Gene Ontology (GO) Project at MGI, and MouseCyc Project at MGI.",Open,,United States,Open. Commercial use requires written permission: http://www.informatics.jax.org/mgihome/other/copyright.shtml,Accepting data for deposit. Accepting. http://www.informatics.jax.org/submit.shtml,Disciplinary,
Mouse Phenome Database (MPD),http://phenome.jax.org/,The Jackson Laboratory,"Biology, Gene expression, Phenotype, Mice as laboratory animals","The Mouse Phenome Database (MPD) characterizes strains of laboratory mice for translational discoveries, and selection of mouse strains for experimental studies.",Open,2001,United States,Open; http://phenome.jax.org/db/q?rtn=docs/copyright,Credentialed individuals in mouse phenotype research,Institutional/Disciplinary,
Movebank Data Repository,http://www.datarepository.movebank.org,Max Plank Insititute,"Animal behavior, Tracking and trailing","Movebank is a free online infrastructure created to help researchers manage, share, analyze, and archive animal movement data. Movebank allows users to publish animal tracking datasets by uploading them to Movebank (www.movebank.org). Published datasets go through a submission and review process, and are typically associated with a written study published in an academic journal. ",Open,2007,Germany,Open,"Data owner, or someone given explicit permission by the data owner.",Disciplinary,
MozAtlas,http://www.tissue-atlas.org/,University of Cambridge,"Gene mapping, Gene expression, Genomes, Mosquitoes, RNA, Entomology","MozAtlas provides gene expression data of adult male and female mosquitoes as tables, expressions, trees and models. MozAtlas also provides sequence orthology relationships with data provided by FlyBase, Vectorbase, Beetlebase, BeeBase, and WormBase.",Open,,United Kingdom,Open,"Closed (Responsible organization only, no outside submissions)",Institutional/Disciplinary,
Mpact,http://mips.helmholtz-muenchen.de/genre/proj/mpact,Helmholtz Zentrum M�nchen German Research Center for Environmental Health (GmbH),Biology,MPact is a repository of biological interactions. MPact provides an access point to interaction resources at the Munich Information Center for Protein Sequences (MIPS). It is designed to support the PSI-MI standard for downloading and uploading data.,Open,2003,Germany,Open. Not for commercial use.,"Closed (Responsible organization only, no outside submissions)",Disciplinary,
Multimodal Learning Corpus Exchange (MULCE) (Multimodal Learning and Teaching Corpora) (LETEC) (MUltimodal contextualized Learner Corpus Exchange),http://repository.mulce.org,"University of Franche-Comt�, Laboratoire d'informatique de Franche-Comt�, French National Research Agency",,"Mulce (MUltimodal contextualized Learner Corpus Exchange) is a research project supported by the National Research Agency (ANR programme: ""Corpus and Tools in the Humanities"", ANR-06-CORP-006).
A teaching corpus (LETEC - Learning and Teaching Corpora) combines a systematic and structured data set, particularly of interactional data, and traces left by a training course experimentation, conducted partially or completely online and completed by additional technical, human, pedagogical and scientific information to enable the data to be analysed in context.",open; CC - http://creativecommons.org/licenses/,2007,France,restricted; CC - http://creativecommons.org/licenses/,restricted: registration,disciplinary,
Mutopia Project,http://www.mutopiaproject.org/,University of Waterloo,"Performing arts, Sheet music, Music","The Mutopia Project offers sheet music editions of classical music for free download. These are based on editions in the public domain, and include works by Bach, Beethoven, Chopin, Handel, Mozart, and many others. A team of volunteers are involved in typesetting the music by computer using the LilyPond software. 

A growing number of modern editions, arrangements and new music are also available for download. The respective editors, arrangers and composers have chosen to make these works freely available.",http://www.mutopiaproject.org/index.html,,Canada,Open: http://www.mutopiaproject.org/index.html,Open,Disciplinary,
myExperiment,www.myexperiment.org,"Oxford e-Research Centre, University of Oxford (on behalf of a consortium including University of Manchester and University of Southampton, UK)","Bioinformatics, Workflow","The myExperiment repository contains the largest public collection of scientific workflows for a variety of workflow systems and disciplines. Launched in November 2007, myExperiment supports Linked data, has a SPARQL Endpoint and REST API and is based on an open source Ruby on Rails codebase.",,2007,United Kingdom,,,,
MyTardis (Tardis),https://mytardis.org,"Monash University, eResearch Centre, University of Queensland, Royal Melbourne Institute of Technology, RMIT, University of Sydney, Australian Synchrotron, Swinburne University of Technology",Medicine,"MyTardis began at Monash University to solve the problem of users needing to store large datasets and share them with collaborators online. Its particular focus is on integration with scientific instruments, instrument facilities and research lab file storage. Our belief is that the less effort a researcher has to expend safely storing data, the more likely they are to do so.
This approach has flourished with MyTardis capturing data from areas such as protein crystallography, electron microscopy, medical imaging and proteomics and with deployments at Australian institutions such as University of Queensland, RMIT, University of Sydney and the Australian Synchrotron. The Australian Synchrotron deployment alone has captured over 20 terabytes and 10,000 datasets, archiving and providing data access and sharing tools to its community of thousands.",open; other - BSD3-Clause License,2010,Australia,restricted; CC - https://mytardis.its.monash.edu.au/experiment/view/862/,restricted: registration,disciplinary,
NARSTO,http://www.narsto.org/data_archive,"Atmospheric Science Data Center, NASA Langley Research Center [Langley, VA]","Pollutants, Air quality management, Climatology, Air quality, North America, Aerosols, Tropospheric chemistry","NARSTO is dedicated to improving management of air quality in North America.  Additionally, NARSTO is working to improve collaboration between the air-quality and health-sciences research communities, to advance understanding of the scientific issues involved in effecting a multi-pollutant/multi-media approach to air quality management, and to increase understanding of the linkages between air quality and climate change.  NARSTO is represented by private and public organizations in Canada, Mexico, and the United States.

NARSTO was terminated as of December 31, 2010. While data remain available via the original NARSTO Data Archive, the permanent data archive is maintained by the NASA Langley Research Center Atmospheric Science Data Center at https://eosweb.larc.nasa.gov/project/narsto/narsto_table.",Open,1995,United States,,Closed,Governmental/Institutional/Disciplinary,
NASA Clouds and Earth's Radiant Energy System Information and Data (CERES),http://ceres.larc.nasa.gov/index.php,National Aeronautics and Space Administration (NASA),"Atmosphere, Clouds, Radiation--Measurement, Climatology, Solar radiation, Solar radiation--Forecasting, Meteorology, Climate change mitigation",The Clouds and the Earth’s Radiant Energy System (CERES) is a key component of the Earth Observing System (EOS) program. CERES instruments provide radiometric measurements of the Earth’s atmosphere from three broadband channels. CERES products include both solar-reflected and Earth-emitted radiation from the top of the atmosphere to the Earth's surface.,Open,1997,United States,Open,"Closed (Responsible organization only, no outside submissions)",Governmental/Disciplinary,
NASA Distributed Active Archive Center at National Snow & Ice Data Center  (NASA DAAC at NSIDC),http://nsidc.org/daac/,"National Science foundation , NSF, National Snow and Ice Data Center , NSIDC, NASA's Earth Observing System Data and Information System , EOSDIS, National Oceanic and Atmospheric Administration , NOAA, University of Boulder, Cooperative Institute for Research in Environmental Sciences , CIRES",Oceanography,"The NSIDC Distributed Active Archive Center (DAAC) processes, archives, documents, and distributes data from NASA's past and current Earth Observing System (EOS) satellites and field measurement programs. The NSIDC DAAC focuses on the study of the cryosphere.
The NSIDC DAAC is one of NASA's Earth Observing System Data and Information System (EOSDIS) Data Centers.",open; Copyrights - http://nsidc.org/about/use_copyright.html,1982,United States,open; Copyrights - http://nsidc.org/about/use_copyright.html,restricted: registration; How to submit your data - http://nsidc.org/data/submit.html,disciplinary/institutional,
NASA Earth Exchange (NEX),https://c3.nasa.gov/nex/,National Aeronautics and Space Administration (NASA),"Atmosphere, Environmental sciences, Earth sciences, Science, Aeronautics, Space","The NASA Earth Exchange (NEX) represents a platform for the Earth science community that provides a mechanism for scientific collaboration and knowledge sharing. NEX combines supercomputing, Earth system modeling, workflow management, NASA remote sensing data feeds, and a knowledge sharing platform to deliver a complete work environment in which users can explore and analyze large datasets, run modeling codes, collaborate on new or existing projects, and quickly share results among the Earth Science communities. Includes some local data collections as well as links to data on other sites.",Open,,United States,,Open; limited to registered users,Governmental/Disciplinary,
NASA Exoplanet Archive,http://exoplanetarchive.ipac.caltech.edu/,"National Aeronautics and Space Administration, NASA, NASA Exoplanet Science Institute, NExSci, California Institute of Technology, Infrared Processing and Analysis Center, IPAC, California Institute of Technology, Jet Propulsion Laboratory, Exoplanet Exploration Program, EXEP",,"The NASA Exoplanet Archive collects and serves public data to support the search for and characterization of extra-solar planets (exoplanets) and their host stars. The data include published light curves, images, spectra and parameters, and time-series data from surveys that aim to discover transiting exoplanets. Tools are provided to work with the data, particularly the display and analysis of transit data sets from Kepler and CoRoT. All data are validated by the Exoplanet Archive science staff and traced to their sources. The Exoplanet Archive is the U.S. data portal for the CoRoT mission. ",open,2011-12,United States,open; other - Image Use Policy,restricted: registration; How to Contribute Data to the NASA Exoplanet Archive - http://exoplanetarchive.ipac.caltech.edu/docs/contribute_data.html,disciplinary/institutional,
NASA/GEWEX Surface Radiation Budget (SRB) Data and Info,https://eosweb.larc.nasa.gov/project/srb/srb_table,National Aeronautics and Space Administration (NASA),"Hydrologic cycle, Atmosphere, Radiation, Climatology, Meteorology, Ozone layer depletion, Radiation carcinogenesis--Prevention","The Global Energy and Water Cycle Experiment (GEWEX) models the Earth’s water cycle. The NASA/GEWEX Surface Radiation Budget (SRB) data sets contain global 3-hourly, daily, monthly/3-hourly, and monthly averages of surface and top-of atmosphere (TOA) longwave and shortwave radiative parameters.",Open. http://eosweb.larc.nasa.gov/HBDOCS/langley_web_tool.html,1983,United States,Open,"Closed (Responsible organization only, no outside submissions)",Governmental/Disciplinary,
NASA/IPAC Extragalactic Database (NED),http://ned.ipac.caltech.edu/,"NASA, National Aeronautics and Space Administration, California Institute of Technology,  Jet Propulsion Laboratory,  Infrared Processing and Analysis Center , IPAC",,"NED is a comprehensive database of multiwavelength data for extragalactic objects, providing a systematic, ongoing fusion of information integrated from hundreds of large sky surveys and tens of thousands of research publications. The contents and services span the entire observed spectrum from gamma rays through radio frequencies. As new observations are published, they are cross- identified or statistically associated with previous data and integrated into a unified database to simplify queries and retrieval. Seamless connectivity is also provided to data in NASA astrophysics mission archives (IRSA, HEASARC, MAST), to the astrophysics literature via ADS, and to other data centers around the world. ",open,1983,United States,open; other - Image Use Policy,restricted: other,disciplinary,
NASA/IPAC Infrared Science Archive  (for NASAs Infrared and Submillimeter Data) (IRSA),http://irsa.ipac.caltech.edu/,"National Aeronautics and Space Administration, NASA, Infrared Processing and Analysis Center, Science and Data Center for Infrared Astronomy , IPAC, California Institute of Technology, CALTECH, Jet Propulsion Laboratory , JPL",,"IRSA is chartered to curate the calibrated science products from NASAs infrared and sub-millimeter missions, including five major large-area/all-sky surveys. IRSA exploits a re-useable architecture to deploy cost-effective archives for customers, including: the Spitzer Space Telescope; the 2MASS and IRAS all-sky surveys; and multi-mission datasets such as COSMOS, WISE and Planck mission",open; Copyrights - http://www.jpl.nasa.gov/copyrights.cfm#copyright,1986,United States,open; Copyrights - http://www.jpl.nasa.gov/copyrights.cfm#copyright,restricted: registration; IRSA Data Validation Tool - http://irsa.ipac.caltech.edu/irsa-dataQA.html,institutional/disciplinary,
National Addiction and HIV Data Archive Program,http://www.icpsr.umich.edu/icpsrweb/NAHDAP/,"ICPSR, Institute for Social Research, University of Michigan [Ann Arbor, MI], National Institute on Drug Abuse (NIDA), National Institutes of Health (NIH), Office of Behavioral and Social Sciences Research (OBSSR), National Institutes of Health (NIH)","HIV (Viruses), Substance abuse, Drug abuse, Diseases","The National Addiction & HIV Data Archive Program (NAHDAP) facilitates research on drug addiction and HIV infection by acquiring, enhancing, preserving, and sharing data produced by research grants, particularly those funded by the National Institute on Drug Abuse.",Open. Some data is restricted-use or available only to persons at ICPSR member institutions. http://www.icpsr.umich.edu/icpsrweb/NAHDAP/data/index.jsp,,United States,Open. Researchers are encouraged to submit bibliographic citations: http://www.icpsr.umich.edu/icpsrweb/NAHDAP/publications.jsp,Accepting data for deposit. http://www.icpsr.umich.edu/icpsrweb/content/NAHDAP/deposit/index.html,Disciplinary,
National Agricultural Statistics Service,http://www.nass.usda.gov/,United States Department of Agriculture (USDA),"Animals, Agriculture--Economic aspects, Produce trade, Livestock, Food supply, Labor, Agricultural chemicals, Research, Maps, Demography, Economics, Crops, Animal products","As a department of the United States Department of Agriculture (USDA) the National Agricultural Statistics Service (NASS) continually surveys and reports on U.S. agriculture.  NASS reports include production and supplies of food and fiber, prices paid and received by farmers, farm labor and wages, farm finances, chemical use, and changes in the demographics of U.S. producers.  NASS provides objective and unbiased statistics of states and counties, while safeguarding the privacy of farmers and ranchers.",Open,1995,United States,Open - http://www.nass.usda.gov/Data_and_Statistics/Citation_Request/,"Closed (Responsible organization only, no outside submissions)",Governmental,
National Archive of Computerized Data on Aging,http://www.icpsr.umich.edu/icpsrweb/NACDA/index.jsp,"Inter-university Consortium for Political and Social Research (ICPSR) at the Institute for Social Research, the University of Michigan","Aging, Gerontology, Age and intelligence, Life span, Productive","The National Archive of Computerized Data on Aging (NACDA), maintains databases relevant data to current gerontological research. Subjects include demographic, social, economic, and psychological characteristics of older adults, physical health and functioning of older adults, and health care needs of older adults.",Open - Some data needs a membership,,United States,Open,"Closed (Responsible organization only, no outside submissions)",Disciplinary,
National Archive of Criminal Justice Data,http://www.icpsr.umich.edu/icpsrweb/NACJD/index.jsp,"Inter-university Consortium for Political and Social Research (ICPSR) at the Institute for Social Research, the University of Michigan","Social sciences, Law enforcement, Criminology, Criminal justice libraries, Justice and politics, Homicide, Juvenile corrections, Violent crimes, Crime analysis","The National Archive of Criminal Justice Data (NACJD) is intended to be utilized by those seeking to  research or do research in criminology. It uses it's preservation, enhancement, and sharing of computerized data resources to facilitate this intent. Data entries include including community studies, corrections, courts, drugs and alcohol, and police behavior.",Open  -  http://www.icpsr.umich.edu/icpsrweb/NACJD/support/faqs/2006/01/how-do-i-obtain-data-collection-from,,United States,Open,Accepting data for deposit  -  http://www.icpsr.umich.edu/icpsrweb/content/NACJD/archiving/index.html,Disciplinary,
National Archives,http://www.archives.gov/,"U.S. National Archives and Records Administration, NARA, The USA.gov","Jurisprudence, History","The National Archives and Records Administration (NARA) is the nation's record keeper. Of all documents and materials created in the course of business conducted by the United States Federal government, only 1%-3% are so important for legal or historical reasons that they are kept by us forever.
Those valuable records are preserved and are available to you, whether you want to see if they contain clues about your family�s history, need to prove a veteran�s military service, or are researching an historical topic that interests you.",open; other - http://www.archives.gov/global-pages/privacy.html,,United States,restricted; Copyrights - http://www.archives.gov/global-pages/privacy.html; other - public domain,closed,institutional/disciplinary,
National Archives and Records Administration [NARA],http://www.archives.gov/,National Archives and Records Administration [NARA],"Documents libraries, Genealogical libraries, Photographs, Libraries, Librarians, Archival materials, Archive buildings, Archives, Genealogical libraries","The National Archives and Records Administration (NARA) is the governmental agency that preserves and maintains the collection of documents that record important events in American history.  The NARA preserves the materials and makes them available for research.  An estimated 1%-3% of all documents and materials created in the course of business by the U.S. government are deemed important enough for legal or historical reasons that they are kept in the archive.  Many of the records in the National Archives are available on microfilm, and more than 124,000 digital images of documents can be seen through NARA’s Archival Research Catalog (ARC).",Open,1934,United States,Open,Accepting data for deposit  -  http://www.archives.gov/nae/support/,Institutional/Governemental,
National Atmospheric Chemistry Database,http://www.ec.gc.ca/natchem/,Environment Canada,"Rain and rainfall, Atmospheric chemistry, Environmental chemistry, Water purification chemicals industry, Water chemistry, Environmental auditing, Water cycles, Precipitable water, Aerosol propellants--Environmental aspects, Air pollution control industry","The purpose of the National Atmospheric Chemistry (NAtChem) database is to create a research grade database of North American air and precipitation chemistry. These data entries include information about the chemical properties of the atmosphere, atmospheric processes, spatial and temporal patterns, source-receptor relationships and long-range transport of air pollutants.",Open,1971,Canada,Open  -  http://www.ec.gc.ca/natchem/default.asp?lang=En&n=90EDB4BC-1,"Closed (Responsible organization only, no outside submissions)",Disciplinary,
National Atmospheric Deposition Program (NADP),http://nadp.sws.uiuc.edu/,Illinois State Water Survey,"Mercury, Atmospheric chemistry, Precipitation (Chemistry), Ammonia--Environmental aspects, Environmental chemistry","The NADP monitors precipitation chemistry from numerous sites around the United States. The NADP consists of 5 networks: National Trends Network, Mercury Deposition Network, Atmospheric Integrated Research Monitoring Network, Atmospheric Mercury Network, and Ammonia Monitoring Network.  Data is provided by each network.",Open,1977,United States,Open - http://nadp.sws.uiuc.edu/nadp/useConditions.aspx,Accepting data for deposit,Disciplinary,
National Biodiversity Network Gateway,http://www.searchnbn.net/,National Biodiversity Network,"Biodiversity, Species, Habitat (Ecology), Geography","UK biodiversity data, contributed by a range of data providers, can be explored using the National Biodiversity Network’s (NBN) Gateway. Species, habitat, and geographic datasets are included. Data entries are primarily organized by general category (e.g., species, habitat, geographic) and then listed by date published.",Open  -  http://www.searchnbn.net/Documentation/NBN_Gateway_Documentation/How_to_get_Better_Access_to_Data/,,United Kingdom,Open  -  http://www.searchnbn.net/help/popups/generalTerms.jsp#2,Credentialed individuals in biodiversity,Disciplinary,
National Center for Atmospheric Research (NCAR),http://ncar.ucar.edu/,"University Corporation for Atmospheric Research [Boulder, CO]","Atmosphere, Severe storms, Cloud physics, Climatology, Meteorology, Atmospheric carbon dioxide, Earth sciences","The NCAR is a federally funded research and development center committed to research and education in atmospheric science and related scientific fields. NCAR seeks to support and enhance the scientific community nationally and globally by monitoring and researching the atmosphere and related physical and biological systems. Users can access climate and earth models created to better understand the atmosphere, the Earth and the Sun; as well as data from various NCAR research programs and projects. NCAR is sponsored by the National Science Foundation in addition to various other U.S. agencies.",Open,1967,United States,Open,Accepting data for deposit by University Corporation for Atmospheric Research member institutions,Institutional/Disciplinary,
National Center for Ecological Analysis and Synthesis (NCEAS),http://knb.ecoinformatics.org/knb/style/skins/nceas/,"University of California, Santa Barbara","Ecology, Climatology, Marine ecology, Economics, Conservation of natural resources, Biodiversity, Diseases, Resource allocation","The National Center for Ecological Analysis and Synthesis (NCEAS) funds cross-disciplinary research in ecology and allied fields.  Data collected from NCEAS research is registered, documented and uploaded using Morpho. NCEAS data are concurrently available through the Knowledge Network for Biocomplexity (KNB).",Open,2007,United States,Open,Membership in NCEAS research program,Institutional/Disciplinary,
National Center for Educational Statistics,http://nces.ed.gov/,"Institute of Education Sciences-National Center for Educational Statistics, Department of Education [Washington D.C.]","Public libraries, Private schools, Public schools, College choice, Schools--Statistics, Literacy, Statistics, Education","The National Center for Educational Statistics (NCES) is responsible for collecting and analyzing data related to education, including assessing the performance of students from early childhood through secondary education as well as the literacy level of adults and post-secondary education surveys. Users can access data on public and private schools as well as public libraries and a college navigator tool containing information on over 7,000 post-secondary institutions.",Open,,United States,Open,Accepting data for submission by qualified researchers-http://ies.ed.gov/funding/12rfas.asp,Governmental,
National Center for Health Statistics,http://www.cdc.gov/nchs/index.htm,"Centers for Disease Control and Prevention, National Center for Health Statistics","Health, Health status indicators--U.S. states, Health status indicators, Diseases, Health service areas, Medical care","The NCHS collects data from birth and death records, medical records, interview surveys, direct physical exams, and laboratory texting to document the health status of the population; identify disparities in health status and health care use by various population characteristics; monitor trends in health status; identify health problems; support biomedical and health services research; and evaluate the impact of health policies and programs. Its primary mission is to provide the statistical information that can guide and inform policies and actions to improve health in the American population.",Open,,United States,Open,,Disciplinary,
National Climate Data and Information Archive (NCDC),http://climate.weatheroffice.gc.ca/Welcome_e.html,"Environment Canada, EC, Government of Canada, GoC",Geography,"The National Climate Data and Information Archive is a web-based resource maintained by Environment Canada and the Meteorological Service of Canada. The site houses a number of statistical and data compilation and viewing tools. From the website, users can access historical climate data for Canadian locations and dates, view climate normals and averages, and climate summaries. A list of Canadian air stations and their meteorological reports and activities is also available, along with rainfall statistics for more than 500 locations across Canada. Users can also download the Canadian daily climate data for 2006/07. In addition, technical documentation is offered for data users to interpret the available data. Other documentation includes a catalogue of Canadian weather reporting stations, a glossary, and a calculation of the 1971 to 2000 climate normals for Canada. This resource carries authority and accuracy because it is maintained by a national government department and service. While the majority of the statistics are historical, the data is up-to-date and contains current and fairly recent climate data. This government resource is intended for an audience that has the ability and knowledge to interpret climatological data",open; Copyrights - http://lois.justice.gc.ca/en/C-42/index.html,2009,United States,open; other - http://climate.weatheroffice.gc.ca/prods_servs/tables/attachment1_e.html; other - http://dd.weatheroffice.gc.ca/doc/LICENCE_GENERAL.txt,closed,disciplinary,
National Climatic Data Center (NCDC),http://www.ncdc.noaa.gov/oa/ncdc.html,"National Climatic Data Center [Asheville, NC]","Meteorology, Climatology, Weather forecasting, Severe storms, Environmental sciences, Remote-sensing images","NCDC supports the largest active archive of weather data as well as producing numerous climate publications and operates the World Data Center for Meteorology in Asheville. NCDC provides current hourly information on hazardous weather, climate extremes, and disaster reports; as well as access to interactive maps, weather models and daily updates from weather stations and satellites across the globe. Older weather data is available through the Legacy Access interface and users can order climate publications and reports from the online store, or download them for free via NCDC’s Geodata Portal.",open,NA,United States,open,closed,governmental/disciplinary,
National Data Archive on Child Abuse and Neglect,http://www.ndacan.cornell.edu/,Cornell University,"Developmental psychology, Child abuse, Social sciences and psychology",The National Data Archive on Child Abuse and Neglect (NDACAN) promotes scholarly exchange among researchers in the child maltreatment field. NDACAN acquires microdata from leading researchers and national data collection efforts and makes these datasets available to the research community for secondary analysis.,Researchers in the U.S. and territories may order datasets from NDACAN. Access to some datasets in our holdings requires affiliation with an institution that has an Institutional Review Board (IRB). Requests for data from users outside of the U.S. and territories are handled on a case-by-case basis.,1988,United States,confidential data,Accepting data for deposit from child maltreatment researchers,Disciplinary/Institutional/Governmental,
National Database for Autism Research (NDAR),http://ndar.nih.gov/,National Institutes of Health (NIH),"Autism, Neurologic examination--Data processing, Behavior disorders in adolescence, Behavior disorders in children","NDAR is an extensible, scalable informatics platform for ASD relevant data at all levels of biological and behavioral organization (molecules, genes, neural tissue, behavioral, social and environmental interactions) and for all data types (text, numeric, image, time series, etc.). NDAR was developed to share data across the entire ASD field and to facilitate collaboration across laboratories, as well as interconnectivity with other informatics platforms.",Open  -  http://ndar.nih.gov/ndarpublicweb/policies.html,2009,United States,Open  -  http://ndar.nih.gov/ndarpublicweb/policies.html,Credentialed individuals with scientific publications,Disciplinary,
National Digital Archive of Datasets,http://www.nationalarchives.gov.uk/documentsonline/datasets.asp,"The National Archives [Kew, Richmond, Surrey, UK]","Public records, Public health, Statistics, Economics, Historical geography","The National Digital Archive of Datasets (NDAD) provides access to archived datasets and documents from United Kingdom government departments which can be searched or browsed by subjects such as armed forces service or wills and death duties. Statistics and information gathered through census data as well as public records are used to compile the available datasets. All datasets are available to download and contain a record summary as well as custodial history, background on the source of the data and whether or not data may be added to the dataset in the future.",open,2010 (The National Archives),United Kingdom,open,closed,governmental,
National Earthquake Information Center (NEIC),http://earthquake.usgs.gov/regional/neic/,"Earthquake Hazards Program, United States Geological Survey (USGS)","Seismology, Geology, Earthquakes","National Earthquake Information Center (NEIC) provides global real-time data feeds and archived data of first-motion, moment tensor, radiated energy, Global centroid moment tensor, and scalar moment events.",Open,1966,United States,Open - http://www.usgs.gov/laws/info_policies.html,Closed,Governmental/Disciplinary,
National Ecological Observatory Network   (NEON),http://www.neoninc.org/,"National Science Foundation, NSF, NEON, Inc.",Biology,"The National Ecological Observatory Network (NEON) is a continental-scale observatory designed to gather and provide 30 years of ecological data on the impacts of climate change, land use change and invasive species on natural resources and biodiversity. NEON is a project of the National Science Foundation, with many other U.S. agencies and NGOs cooperating.",open; Copyrights - http://www.neoninc.org/content/copyright,2012,United States,restricted; Copyrights - http://www.neoninc.org/content/copyright; other - http://www.neoninc.org/about/FAQ#data,closed,disciplinary,
National Educational Panel Study (NEPS),http://www.neps-data.de/en-us/home,"University of Bamberg, Institute for Longitudinal Educational Research, Germany�s Federal Ministry of Education and Research","Social sciences, Psychology","The project analyzes educational processes in Germany from early childhood to late adulthood. The National Educational Panel Study (NEPS) has been set up to find out more about the acquisition of education in Germany, to plot the consequences of education for individual biographies, and to describe central educational processes and trajectories across the entire life span.
Such an interdisciplinary consortium of research institutes, researcher groups, and research
personalities has been assembled in Bamberg. In addition, the competencies and experiences with longitudinal research available at numerous other locations have been networked to form a cluster of excellence.",open; Copyrights - https://www.neps-data.de/de-de/impressum.aspx,2012,Germany,closed; other - Data Use Agreement,restricted: registration,disciplinary,
National Forestry Database (NFD),http://nfdp.ccfm.org/index_e.php,Canadian Forest Service (CFS),"Forest fires, Sustainability, Forest insects, Forest products industry, Silvicultural systems, Revenue, Pests--Control, Forest management, Fires--Environmental aspects","The National Forestry Database (NFD) is a database that contains the forestry and wildlife information collected by the Canadian Forest Service. NFD data is downloadable as HTML or Excel files, and searchable via reporting agencies, subject, and reporting period.",Open,1990,Canada,Open  -  http://nfdp.ccfm.org/copy_e.php,Membership in National Forestry Database partners network,Governmental/Disciplinary,
National Genomic Resources Repository,http://www.nbpgr.ernet.in/repository/home.htm,"National Bureau of Plant Genetics Resources, New Delhi","Biotechnology, RNA, DNA, Genomics, Genetics, Experimental, Plants, Plants and history, Biotechnology, Chromosomal proteins","National Genomic Resources Repository is established as an institutional framework for methodical and centralized efforts to collect, generate, conserve and distribute genomic resources for agricultural research.",Limited to registered members,2009,India,Open  -  http://www.nbpgr.ernet.in/repository/request.htm,Open  -  http://www.nbpgr.ernet.in/repository/deposit.htm,Disciplinary,
National Geophysical Data Center (NGDC),http://www.ngdc.noaa.gov,"Satellite and Information Service, NOAA","Natural disasters, Water, Remote-sensing images, Snow, Ice, Solar-terrestrial physics, Geology","NGDC provides geophysical data of the solid earth, marine, solar-terrestrial environment, and earth observations from space.   NGDC welcomes scientific data contributions from other government agencies, nonprofit organizations, and universities.",Open,2003,United States,Open - http://www.ngdc.noaa.gov/ngdcinfo/privacy.html,Credentialed individuals in geophysical research,Governmental/Disciplinary,
National Geoscience Data Centre,http://www.bgs.ac.uk/services/ngdc/home.html,"British Geological Survey, Natural Environment Research Council [Nottingham, England]","Geological surveys, Earth sciences, Earthquakes, Geology, Hydrocarbons, Paleontology, Mineralogy","The National Geoscience Data Centre (NGDC) contains the National Hydrocarbons Data Archive as well as the Earth Science Academic Archive and The National Geological Records Centre; providing extensive datasets and geological information going back more than two centuries. The NGDC supports the British Geological Survey’s science programs and is the designated data center for Earth Sciences in the United Kingdom. Available data includes geological and survey maps, photographs, and geographic information metadata.",open,1836 (British Geological Survey),United Kingdom,open,Accepting  data for submission- http://www.bgs.ac.uk/services/ngdc/records/depositing.html,governmental/disciplinary,
National Geothermal Data System (NGDS),http://geothermaldata.org/,U.S. Department of Energy,"Energy development, Geothermal resources","The National Geothermal Data System (NGDS) is a distributed data system that provides access to information related to geothermal energy from a network of data providers, including academic researchers, private industry, and state and federal agencies.",Open,,United States,Open,Project participant or member node - http://geothermaldata.org/page/publish-data,Disciplinary,
National Historical Geographic Information System (NHGIS),https://www.nhgis.org/,"Minnesota Population Center, University of Minnesota","Census, Population, Geographic information systems, Household surveys, Demography","The NHGIS provides free summary (aggregate) data from the US Census Bureau from 1790 to the present from several census programs including the decennial census, American Community Survey, and County Business Patterns. Users can also download historical census geography boundary files for use in GIS. Registration is required but is free.",Closed,2005,United States,Open - https://www.nhgis.org/research/citation,Closed,Institutional / Governmental,
